,,,LMP,,,,,,,,,,,,,,,CAJ,,,,,,,,,,,,,,
Listener,Sentence,#,KW1,KW1 (R),KW1 (S),KW2,KW2 (R),KW2 (S),KW3,KW3 (R),KW3 (S),KW4,KW4 (R),KW4 (S),KW5,KW5 (R),KW5 (S),KW1,KW1 (R),KW1 (S),KW2,KW2 (R),KW2 (S),KW3,KW3 (R),KW3 (S),KW4,KW4 (R),KW4 (S),KW5,KW5 (R),KW5 (S)
NAF004,24-07,111,some,1,1,ads,0,0,serve,0,0,cheat,0,0,buyers,1,1,some,1,1,ads,0,0,serve,0,0,cheat,0,0,buyers,1,1
NAF004,59-05,112,keep,0,0,hatch,1,1,tight,1,1,watch,1,1,constant,1,1,keep,0,0,hatch,1,1,tight,1,1,watch,1,1,constant,1,1
NAF004,70-09,113,streets,1,1,narrow,1,1,full,1,1,sharp,1,1,turns,1,1,streets,1,1,narrow,1,1,full,1,1,sharp,1,1,turns,1,1
NAF004,71-08,114,he,1,1,sent,1,1,boy,1,1,short,1,1,errand,1,1,he,1,1,sent,1,1,boy,1,1,short,1,1,errand,1,1
NAF004,59-04,115,drive,1,1,screw,1,1,straight,1,1,into,1,1,wood,1,1,drive,1,1,screw,1,1,straight,1,1,into,1,1,wood,1,1
NAF004,04-02,116,take,1,1,winding,1,1,path,1,1,reach,1,1,lake,1,1,take,1,1,winding,1,1,path,1,1,reach,1,1,lake,1,1
NAF004,16-02,117,speedy,1,1,man,1,1,beat,1,1,track,1,1,mark,0,0,speedy,1,1,man,1,1,beat,1,1,track,1,1,mark,0,0
NAF004,19-07,118,we,1,1,admire,1,1,love,1,1,good,0,0,cook,0,0,we,1,1,admire,1,1,love,1,1,good,0,0,cook,0,0
NAF004,67-09,119,mail,1,1,comes,1,1,three,1,1,batches,1,1,day,1,1,mail,1,1,comes,1,1,three,1,1,batches,1,1,day,1,1
NAF004,12-10,120,we,1,1,find,1,1,joy,1,1,simplest,1,1,things,1,1,we,1,1,find,1,1,joy,1,1,simplest,1,1,things,1,1
NAF004,04-04,121,wipe,1,1,grease,1,1,off,1,1,dirty,1,1,face,1,1,wipe,1,1,grease,1,1,off,1,1,dirty,1,1,face,1,1
NAF004,22-01,122,cement,1,1,dried,1,1,when,0,0,moved,0,0,it,0,0,cement,1,1,dried,1,1,when,0,0,moved,0,0,it,0,0
NAF004,41-08,123,sense,1,1,smell,1,1,better,1,1,than,1,1,touch,1,1,sense,1,1,smell,1,1,better,1,1,than,1,1,touch,1,1
NAF004,72-05,124,small,1,1,children,1,1,came,1,1,see,1,1,him,0,0,small,1,1,children,1,1,came,1,1,see,1,1,him,0,0
NAF004,18-05,125,torn,1,1,scraps,0,0,littered,0,0,stone,1,0,floor,0,0,torn,1,1,scraps,0,0,littered,0,0,stone,1,0,floor,0,0
NAF004,26-09,126,pills,1,1,do,1,1,less,1,1,good,1,1,others,1,0,pills,1,1,do,1,1,less,1,1,good,1,1,others,1,0
NAF004,51-04,127,dusty,1,1,bench,1,1,stood,1,1,stone,1,0,wall,1,1,dusty,1,1,bench,1,1,stood,1,1,stone,1,0,wall,1,1
NAF004,13-03,128,boss,1,1,ran,1,1,show,1,1,watchful,0,0,eye,0,0,boss,1,1,ran,1,1,show,1,1,watchful,0,0,eye,0,0
NAF004,05-07,129,rope,1,1,bind,1,1,seven,1,1,books,1,1,once,1,1,rope,1,1,bind,1,1,seven,1,1,books,1,1,once,1,1
NAF004,31-10,130,fight,0,0,end,0,0,just,1,1,six,1,1,minutes,0,0,fight,0,0,end,0,0,just,1,1,six,1,1,minutes,0,0
NAF004,48-03,131,tin,1,1,box,1,1,held,0,0,priceless,0,0,stones,1,1,tin,1,1,box,1,1,held,0,0,priceless,0,0,stones,1,1
NAF004,53-09,132,wide,0,0,grin,0,0,earned,1,1,many,1,1,friends,1,1,wide,0,0,grin,0,0,earned,1,1,many,1,1,friends,1,1
NAF004,06-05,133,saw,1,1,tool,1,1,used,1,1,making,1,1,boards,0,0,saw,1,1,tool,1,1,used,1,1,making,1,1,boards,0,0
NAF004,52-07,134,room,1,1,crowded,1,1,with,1,1,wild,1,1,mob,0,0,room,1,1,crowded,1,1,with,1,1,wild,1,1,mob,0,0
NAF004,66-01,135,rarest,1,1,spice,1,1,comes,0,0,far,0,0,east,0,0,rarest,1,1,spice,1,1,comes,0,0,far,0,0,east,0,0
NAF004,64-06,136,pack,1,1,kits,1,1,don't,1,1,forget,1,1,salt,1,0,pack,1,1,kits,1,1,don't,1,1,forget,1,1,salt,1,0
NAF004,56-02,137,clams,1,1,small,1,1,round,1,1,soft,1,1,tasty,1,1,clams,1,1,small,1,1,round,1,1,soft,1,1,tasty,1,1
NAF004,08-04,138,walled,1,0,town,1,1,seized,0,0,without,0,0,fight,0,0,walled,1,0,town,1,1,seized,0,0,without,0,0,fight,0,0
NAF004,67-05,139,pick,1,1,card,1,1,slip,1,1,under,1,1,pack,1,1,pick,1,1,card,1,1,slip,1,1,under,1,1,pack,1,1
NAF004,53-03,140,black,1,1,trunk,1,1,fell,1,1,from,1,1,landing,0,0,black,1,1,trunk,1,1,fell,1,1,from,1,1,landing,0,0
NAF004,56-09,141,white,1,1,silk,1,1,jacket,1,1,any,1,1,shoes,1,1,white,1,1,silk,1,1,jacket,1,1,any,1,1,shoes,1,1
NAF004,60-07,142,dull,0,0,stories,1,1,make,1,1,her,1,1,laugh,1,1,dull,0,0,stories,1,1,make,1,1,her,1,1,laugh,1,1
NAF004,10-06,143,bail,1,0,boat,1,1,stop,1,1,from,1,1,sinking,1,1,bail,1,0,boat,1,1,stop,1,1,from,1,1,sinking,1,1
NAF004,67-01,144,hang,0,0,tinsel,0,0,from,0,0,both,0,0,branches,1,1,hang,0,0,tinsel,0,0,from,0,0,both,0,0,branches,1,1
NAF004,44-10,145,marsh,1,1,freeze,1,1,when,1,1,cold,0,0,enough,0,0,marsh,1,1,freeze,1,1,when,1,1,cold,0,0,enough,0,0
NAF004,64-05,146,crouch,0,0,before,1,1,jump,1,1,miss,0,0,mark,0,0,crouch,0,0,before,1,1,jump,1,1,miss,0,0,mark,0,0
NAF004,68-08,147,don't,1,1,like,1,1,admit,1,1,small,1,1,faults,1,1,don't,1,1,like,1,1,admit,1,1,small,1,1,faults,1,1
NAF004,22-04,148,do,1,1,that,1,1,with,1,1,wooden,1,1,stick,1,1,do,1,1,that,1,1,with,1,1,wooden,1,1,stick,1,1
NAF004,72-06,149,grass,1,1,bushes,1,1,were,1,1,wet,1,1,dew,1,1,grass,1,1,bushes,1,1,were,1,1,wet,1,1,dew,1,1
NAF004,04-05,150,mend,0,0,coat,1,1,before,1,1,go,1,1,out,1,1,mend,0,0,coat,1,1,before,1,1,go,1,1,out,1,1
NAF004,05-05,151,lazy,0,0,cow,1,1,lay,1,0,cool,0,0,grass,1,1,lazy,0,0,cow,1,1,lay,1,0,cool,0,0,grass,1,1
NAF004,25-01,152,islands,1,1,sea,1,1,breeze,1,1,soft,1,1,mild,0,0,islands,1,1,sea,1,1,breeze,1,1,soft,1,1,mild,0,0
NAF004,31-03,153,beam,1,1,dropped,1,1,down,1,1,workman's,0,0,head,1,1,beam,1,1,dropped,1,1,down,1,1,workman's,0,0,head,1,1
NAF004,16-10,154,sofa,1,1,cushion,1,1,red,1,1,light,0,0,weight,0,0,sofa,1,1,cushion,1,1,red,1,1,light,0,0,weight,0,0
NAF004,70-06,155,baby,1,1,puts,1,1,right,1,1,foot,1,1,mouth,1,1,baby,1,1,puts,1,1,right,1,1,foot,1,1,mouth,1,1
NAF004,71-06,156,curtain,1,1,rose,1,1,show,1,1,was,1,1,on,1,1,curtain,1,1,rose,1,1,show,1,1,was,1,1,on,1,1
NAF004,68-02,157,put,1,1,chart,0,0,mantel,0,0,tack,0,0,down,1,1,put,1,1,chart,0,0,mantel,0,0,tack,0,0,down,1,1
NAF004,37-01,158,feed,1,1,white,1,1,mouse,1,1,flower,1,1,seeds,1,1,feed,1,1,white,1,1,mouse,1,1,flower,1,1,seeds,1,1
NAF004,34-06,159,try,1,1,trace,1,1,fine,1,1,lines,1,1,painting,1,1,try,1,1,trace,1,1,fine,1,1,lines,1,1,painting,1,1
NAF004,27-06,160,rude,1,1,laugh,1,1,filled,1,1,empty,1,1,room,1,1,rude,1,1,laugh,1,1,filled,1,1,empty,1,1,room,1,1
NAF004,36-10,161,takes,0,0,good,0,0,trap,0,0,capture,0,0,bear,0,0,takes,0,0,good,0,0,trap,0,0,capture,0,0,bear,0,0
NAF004,55-07,162,if,1,1,mumble,1,1,your,1,0,speech,0,0,lost,0,0,if,1,1,mumble,1,1,your,1,0,speech,0,0,lost,0,0
NAF004,23-01,163,pencil,1,1,black,1,1,lead,1,1,writes,1,1,best,1,1,pencil,1,1,black,1,1,lead,1,1,writes,1,1,best,1,1
NAF004,17-05,164,abrupt,1,1,start,1,1,not,1,1,win,1,1,prize,1,1,abrupt,1,1,start,1,1,not,1,1,win,1,1,prize,1,1
